                 spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy  |max-min|
2010-08-18  6.038209e-05  -6.390588e-03   0.001789   0.008545 -0.003597   0.014936
2010-08-19  8.244095e-05  -6.543752e-03   0.001560   0.008326 -0.003661   0.014870
2010-08-20  1.104165e-04  -6.693537e-03   0.001328   0.008100 -0.003716   0.014793
2010-08-21  1.438878e-04  -6.839558e-03   0.001092   0.007864 -0.003764   0.014704
2010-08-22  1.816126e-04  -6.981430e-03   0.000851   0.007618 -0.003808   0.014600
2010-08-23  2.217744e-04  -7.118764e-03   0.000605   0.007362 -0.003850   0.014481
2010-08-24  2.623145e-04  -7.251175e-03   0.000352   0.007094 -0.003892   0.014345
2010-08-25  3.012592e-04  -7.378282e-03   0.000093   0.006815 -0.003937   0.014193
2010-08-26  3.369647e-04  -7.499709e-03  -0.000172   0.006524 -0.003987   0.014023
2010-08-27  3.682923e-04  -7.615087e-03  -0.000442   0.006221 -0.004043   0.013836
2010-08-28  3.947606e-04  -7.724056e-03  -0.000718   0.005908 -0.004105   0.013632
2010-08-29  4.166670e-04  -7.826270e-03  -0.000999   0.005586 -0.004171   0.013412
2010-08-30  4.351088e-04  -7.921395e-03  -0.001282   0.005254 -0.004240   0.013175
2010-08-31  4.518632e-04  -8.009113e-03  -0.001568   0.004915 -0.004310   0.012924
2010-09-01  4.691581e-04  -8.089122e-03  -0.001855   0.004569 -0.004376   0.012658
2010-09-02  4.893837e-04  -8.161141e-03  -0.002141   0.004218 -0.004437   0.012379
2010-09-03  5.147059e-04  -8.224908e-03  -0.002426   0.003864 -0.004487   0.012089
2010-09-04  5.464860e-04  -8.280182e-03  -0.002707   0.003508 -0.004525   0.011788
2010-09-05  5.845532e-04  -8.326746e-03  -0.002985   0.003151 -0.004550   0.011478
2010-09-06  6.266840e-04  -8.364407e-03  -0.003257   0.002794 -0.004564   0.011158
2010-09-07  6.688102e-04  -8.392996e-03  -0.003523   0.002438 -0.004570   0.010831
2010-09-08  7.062065e-04  -8.412368e-03  -0.003783   0.002084 -0.004573   0.010496
2010-09-09  7.352746e-04  -8.422405e-03  -0.004036   0.001732 -0.004577   0.010154
2010-09-10  7.550118e-04  -8.423011e-03  -0.004283   0.001381 -0.004583   0.009804
2010-09-11  7.673333e-04  -8.414119e-03  -0.004525   0.001032 -0.004590   0.009446
2010-09-12  7.761016e-04  -8.395684e-03  -0.004761   0.000684 -0.004596   0.009172
2010-09-13  7.854986e-04  -8.367684e-03  -0.004993   0.000336 -0.004596   0.009153
2010-09-14  7.986467e-04  -8.330121e-03  -0.005221  -0.000010 -0.004589   0.009129
2010-09-15  8.170240e-04  -8.283019e-03  -0.005445  -0.000357 -0.004574   0.009100
2010-09-16  8.406116e-04  -8.226424e-03  -0.005666  -0.000703 -0.004550   0.009067
2010-09-17  8.683546e-04  -8.160399e-03  -0.005882  -0.001048 -0.004520   0.009029
2010-09-18  8.985840e-04  -8.085027e-03  -0.006095  -0.001392 -0.004485   0.008984
2010-09-19  9.293161e-04  -8.000408e-03  -0.006303  -0.001735 -0.004446   0.008930
2010-09-20  9.585099e-04  -7.906655e-03  -0.006506  -0.002074 -0.004407   0.008865
2010-09-21  9.843423e-04  -7.803897e-03  -0.006704  -0.002410 -0.004367   0.008788
2010-09-22  1.005459e-03  -7.692275e-03  -0.006895  -0.002742 -0.004329   0.008698
2010-09-23  1.021143e-03  -7.571940e-03  -0.007079  -0.003068 -0.004291   0.008593
2010-09-24  1.031383e-03  -7.443052e-03  -0.007255  -0.003387 -0.004254   0.008474
2010-09-25  1.036897e-03  -7.305779e-03  -0.007422  -0.003700 -0.004216   0.008459
2010-09-26  1.039100e-03  -7.160296e-03  -0.007581  -0.004004 -0.004176   0.008620
2010-09-27  1.039979e-03  -7.006782e-03  -0.007730  -0.004300 -0.004130   0.008770
2010-09-28  1.041803e-03  -6.845420e-03  -0.007869  -0.004587 -0.004077   0.008910
2010-09-29  1.046734e-03  -6.676396e-03  -0.007998  -0.004865 -0.004015   0.009045
2010-09-30  1.056388e-03  -6.499896e-03  -0.008118  -0.005134 -0.003942   0.009174
2010-10-01  1.071448e-03  -6.316109e-03  -0.008228  -0.005394 -0.003859   0.009300
2010-10-02  1.091332e-03  -6.125222e-03  -0.008331  -0.005646 -0.003766   0.009423
2010-10-03  1.113996e-03  -5.927421e-03  -0.008427  -0.005891 -0.003667   0.009541
2010-10-04  1.136087e-03  -5.722889e-03  -0.008517  -0.006130 -0.003567   0.009653
2010-10-05  1.153676e-03  -5.511809e-03  -0.008602  -0.006364 -0.003472   0.009756
2010-10-06  1.163527e-03  -5.294358e-03  -0.008685  -0.006596 -0.003385   0.009848
2010-10-07  1.164416e-03  -5.070712e-03  -0.008766  -0.006825 -0.003309   0.009930
2010-10-08  1.157758e-03  -4.841041e-03  -0.008846  -0.007053 -0.003244   0.010004
2010-10-09  1.147117e-03  -4.605511e-03  -0.008927  -0.007280 -0.003186   0.010074
2010-10-10  1.136808e-03  -4.364286e-03  -0.009007  -0.007506 -0.003132   0.010143
2010-10-11  1.130363e-03  -4.117522e-03  -0.009086  -0.007731 -0.003077   0.010217
2010-10-12  1.129579e-03  -3.865372e-03  -0.009165  -0.007954 -0.003020   0.010294
2010-10-13  1.134435e-03  -3.607984e-03  -0.009241  -0.008174 -0.002958   0.010376
2010-10-14  1.143610e-03  -3.345501e-03  -0.009315  -0.008390 -0.002894   0.010458
2010-10-15  1.155146e-03  -3.078061e-03  -0.009384  -0.008600 -0.002826   0.010539
2010-10-16  1.166955e-03  -2.805797e-03  -0.009447  -0.008804 -0.002756   0.010614
2010-10-17  1.177105e-03  -2.528837e-03  -0.009504  -0.009000 -0.002686   0.010681
2010-10-18  1.183996e-03  -2.247306e-03  -0.009554  -0.009188 -0.002616   0.010738
2010-10-19  1.186493e-03  -1.961322e-03  -0.009595  -0.009365 -0.002545   0.010781
2010-10-20  1.184049e-03  -1.671002e-03  -0.009626  -0.009532 -0.002474   0.010810
2010-10-21  1.176778e-03  -1.376455e-03  -0.009648  -0.009688 -0.002402   0.010865
2010-10-22  1.165477e-03  -1.077789e-03  -0.009660  -0.009832 -0.002327   0.010998
2010-10-23  1.151574e-03  -7.751079e-04  -0.009661  -0.009964 -0.002248   0.011116
2010-10-24  1.136998e-03  -4.685099e-04  -0.009652  -0.010085 -0.002163   0.011222
2010-10-25  1.123928e-03  -1.580919e-04  -0.009633  -0.010195 -0.002070   0.011319
2010-10-26  1.114419e-03   1.560532e-04  -0.009605  -0.010294 -0.001968   0.011409
2010-10-27  1.109946e-03   4.738353e-04  -0.009570  -0.010385 -0.001857   0.011495
2010-10-28  1.111000e-03   7.951671e-04  -0.009529  -0.010467 -0.001737   0.011578
2010-10-29  1.116843e-03   1.119964e-03  -0.009483  -0.010544 -0.001612   0.011664
2010-10-30  1.125512e-03   1.448143e-03  -0.009434  -0.010617 -0.001485   0.012065
